SL,i5-11th,i7,A-i5
1,81,47ms,71ms
2,91,44ms,80ms
3,73,43ms,64ms
4,128,55ms,109ms
5,66,53ms,76ms
6,64,43ms,108ms
7,100,45ms,135ms
8,55,46ms,66ms
9,100,52ms,79ms
10,55,47ms,100ms
11,100,44ms,121ms
12,66,40ms,91ms
13,57,42ms,115ms
14,51,44ms,102ms
15,63,44ms,116ms
16,61,48ms,100ms
17,60,49ms,62ms
18,81,46ms,76ms
19,46,40ms,125ms
20,63,48ms,77ms
21,70,50ms,96ms
22,54,46ms,103ms
23,50,49ms,63ms
24,67,41ms,87ms
25,55,43ms,99ms
26,60,39ms,62ms
27,66,47ms,81ms
28,49,69ms,101ms
29,53,44ms,61ms
30,74,46ms,81ms
31,57,51ms,102ms
32,51,44ms,61ms
33,68,38ms,80ms
34,52,50ms,110ms
35,60,43ms,64ms
36,62,43ms,82ms
37,43,41ms,99ms
38,57,44ms,64ms
39,69,39ms,81ms
40,50,48ms,101ms
41,44,50ms,92ms
42,65,47ms,76ms
43,54,51ms,123ms
44,48,42ms,61ms
45,84,44ms,77ms
46,43,47ms,99ms
47,61,48ms,65ms
48,60,50ms,80ms
49,55,49ms,99ms
50,67,47ms,63ms
51,78,59ms,79ms
52,66,58ms,100ms
53,64,53ms,63ms
54,78,47ms,95ms
55,38,47ms,98ms
56,45,50ms,62ms
57,73,46ms,77ms
58,40,48ms,99ms
59,42,52ms,64ms
60,63,49ms,81ms
61,61,49ms,106ms
62,62,48ms,62ms
63,63,50ms,76ms
64,54,53ms,100ms
65,44,61ms,64ms
66,70,48ms,86ms
67,38,46ms,102ms
68,43,47ms,62ms
69,69,51ms,80ms
70,58,43ms,99ms
71,40,46ms,64ms
72,46,47ms,84ms
73,66,51ms,99ms
74,42,45ms,63ms
75,51,41ms,79ms
76,93,45ms,106ms
77,56,48ms,66ms
78,48,44ms,86ms
79,67,46ms,100ms
80,47,54ms,60ms
81,65,60ms,78ms
82,66,47ms,101ms
83,40,53ms,68ms
84,44,43ms,77ms
85,52,43ms,100ms
86,39,48ms,65ms
87,50,51ms,80ms
88,65,45ms,100ms
89,56,42ms,65ms
90,62,42ms,75ms
91,67,52ms,97ms
92,49,44ms,62ms
93,48,52ms,81ms
94,65,41ms,98ms
95,43,44ms,65ms
96,49,44ms,77ms
97,69,47ms,100ms
98,62,47ms,65ms
99,59,51ms,77ms
100,76,47ms,62ms
